id,Chapter,Questions,Incorrect Answers,Correct Answer
1,1,Which question no longer concerns the modern software engineer?,Why does software take a long time to finish?/Why does it cost so much to develop a piece of software?/Why can’t software errors be removed from products prior to delivery?,Why does computer hardware cost so much?
2,1,Software is a product and can be manufactured using the same technologies used for other engineering artifacts,TRUE,FALSE
3,1,Software deteriorates rather than wears out because,Software suffers from exposure to hostile environments/Defects are more likely to arise after software has been used often/Software spare parts become harder to order,Multiple change requests introduce errors in component interactions
4,1,"WebApps are a mixture of print publishing and software development, making their development outside the realm of software engineering practice.",TRUE,FALSE
5,1,There are no real differences between creating WebApps and MobileApps.,TRUE,FALSE
6,1,In its simplest form an external computing device may access cloud data services using a web browser.,FALSE,TRUE
7,1,Product line software development depends the reuse of existing software components to provide software engineering leverage.,FALSE,TRUE
8,2,Which of the items listed below is not one of the software engineering layers?,Process/Methods/Tools,Manufacturing
9,2,Software engineering umbrella activities are only applied during the initial phases of software development projects.,TRUE,FALSE
10,2,Which of these are the 5 generic software engineering framework activities?,"communication, risk management, measurement, production, reviewing/analysis, designing, programming, debugging, maintenance/analysis, planning, designing, programming, testing","communication, planning, modeling, construction, deployment"
11,2,Planning ahead for software reuse reduces the cost and increases the value of the systems into which they are incorporated.,FALSE,TRUE
12,2,"he essence of software engineering practice might be described as understand the problem, plan a solution, carry out the plan, and examine the result for accuracy.",FALSE,TRUE
13,2,In agile process models the only deliverable work product is the working program.,FALSE,TRUE
14,2,A most software development projects are initiated to try to meet some business need.,FALSE,TRUE
15,2,In general software only succeeds if its behavior is consistent with the objectives of its designers.,TRUE,FALSE
16,3,"	
Which of the following are recognized process flow types?","Concurrent process flow/Iterative process flow/Linear process flow
/Spiral process flow",both b and c
17,3,"The communication activity is best handled for small projects using six distinct actions (inception, elicitation, elaboration, negotiation, specification, validation).
",TRUE,FALSE
18,3,"A good software development team always uses the same task set for every project to insure high quality work products
",TRUE,FALSE
19,3,"Software processes can be constructed out of pre-existing software patterns to best meet the needs of a software project.
",FALSE,TRUE
20,3,"Which of these are standards for assessing software processes?
","SEI/SPICE/ISO 9000/ISO 9001

",both b and d
21,4,The waterfall model of software development is,A good approach when a working program is required quickly./The best approach to use for projects with large development teams./An old fashioned model that is rarely used any more.,A reasonable approach when requirements are well defined.
22,4,The incremental model of software development is,A reasonable approach when requirements are well defined./The best approach to use for projects with large development teams./A revolutionary model that is not used for commercial products.,A good approach when a working core product is required quickly.
23,4,Evolutionary software process models,Are iterative in nature./Can easily accommodate product requirements changes./Do not generally produce throwaway systems.,All of the above.
24,4,The prototyping model of software development is,A reasonable approach when requirements are well defined./The best approach to use for projects with large development teams./A risky model that rarely produces a meaningful product.,A risky model that rarely produces a meaningful product.
25,4,The spiral model of software development,Ends with the delivery of the software product./Is more chaotic than the incremental model./All of the above.,Includes project risks evaluation during each iteration.
26,4,The concurrent development model is,Another name for concurrent engineering./Defines events that trigger engineering activity state transitions./Only used for development of parallel or distributed systems./Used whenever a large number of change requests are anticipated.,Both a and b
27,4,The component-based development model is,Only appropriate for computer hardware design./Not able to support the development of reusable components./Not cost effective by known quantifiable software metrics.,Dependent on object technologies for support.
28,4,The formal methods model of software development makes use of mathematical methods to,Define the specification for computer-based systems./Develop defect free computer-based systems./Verify the correctness of computer-based systems.,Construction phase
29,4,Which of these is not one of the phase names defined by the Unified Process model for software development?,Inception phase/Elaboration phase/Construction phase,Practitioner requires careful supervision by the project manager.
30,4,Which of these is not a characteristic of Personal Software Process?,Emphasizes personal measurement of work product./Individual practitioner is responsible for estimating and scheduling./Practitioner is empowered to control quality of software work products.,Show managers how to reduce costs and sustain quality
31,4,Which of these are objectives of Team Software Process?,Accelerate software process improvement/Allow better time management by highly trained professionals/Build self-directed software teams/Show managers how to reduce costs and sustain quality,
32,4,Process technology tools allow software organizations to compress schedules by skipping unimportant activities.,TRUE,FALSE
33,4,It is generally accepted that one cannot have weak software processes and create high quality end products.,FALSE,TRUE
34,5,Agility is nothing more than the ability of a project team to respond rapidly to change.,TRUE,FALSE
35,5,Which of the following is not necessary to apply agility to a software process?,Only essential work products are produced/Process allows team to streamline tasks/Uses incremental product delivery strategy,Eliminate the use of project planning and testing
36,5,How do you create agile processes to manage unpredictability?,Requirements gathering must be conducted very carefully/Risk analysis must be conducted before planning takes place/Software increments must be delivered in short time periods,Software processes must adapt to changes incrementally
37,5,In agile software processes the highest priorities is to satisfy the customer through early and continuous delivery of valuable software.,FALSE,TRUE
38,5,In agile development it is more important to build software that meets the customers’ needs today than worry about features that might be needed in the future.,FALSE,TRUE
39,5,What are the four framework activities found in the Extreme Programming (XP) process model?,"analysis, design, coding, testing/planning, analysis, design, coding/planning, analysis, coding, testing","planning, design, coding, testing"
40,5,All agile process models conform to a greater or lesser degree to the principles stated in the “Manifesto for Agile Software Development”.,FALSE,TRUE
